,Project ID,name,long,lat,First Year of Project,Type,Country
1,237753,The Cevizlik Run-of-River Hydroelectric Power Plant,40.47,40.84,2011,Hydropower,Turkey
2,237135,Shangyi Manjing Windfarm Project,114.25,41.183333,2008,Wind,China
18,237136,Tungabhadra Wind Power Project.,76.5,13.51667,2007,Wind,India
19,2371249,CGN Kashi Yingjisha Phase I 20MWp Grid-connected PV Power Plant Project,75.7873,38.9515,2012,Solar - Centralized,China
21,237957,"Wind energy project by Hindustan Spinners in Tamilnadu, India.",77.572524,8.137271,2007,Wind,India
22,2371457,Bolu Waste Heat Recovery,31.781389,40.755555,,,
23,237779,Tongcheng Kaidi Biomass Power Project,116.953056,31.045278,2011,Biomass,China
25,237140,Xinjiang Xiaocaohu Wind Power Project,88.701667,43.073611,2007,Wind,China
29,237148,Hebei Kangbao Wolongtushan 30 MW Wind Farm Project,114.28,41.51,2006,Wind,China
36,237164,Primavera Small Hydroelectric Project,-61.235277,-11.904443,2008,Hydropower,Brazil
37,237968,Sungai Kerling Hydropower Plant,101.682777,3.678609,2011,Hydropower,Malaysia
38,2371456,Koroglu Hydroelectric Power Plant,36.182743,37.607833,,Hydropower,Turkey
40,2371857,Grouped OFF-GRID Renewable Energy Project in India,84.68779,25.9899,2017,Biomass,India
42,2371452,1 MW biomass gasifier based power generation project by Chanderpur Renewal Power Co. Pvt. Ltd.,77.025569,30.253302,,Biomass,India
50,237851,Nam Soi & Nam Cong Hydropower Project,103.4415,20.5525,2010,Hydropower,Vietnam
58,2372521,Installation of high efficiency wood burning cookstoves in Laos,102.495496,19.85627,,,
61,237608,Grid -connected electricity generation from 23.75MW  wind energy by GACL in Gujarat in,68.758178,23.137709,2008,Wind,India
63,237131,Sol Nascente Ceramic Fuel Switching Project,-51.864722,-21.366944,2006,Biomass,Brazil
67,237187,Maobaguan 24MW Hydropower Project,108.252828,32.338217,,Hydropower,China
72,237192,"48 MW Houqiao Hydropower Project, Yunnan, China",98.192222,25.370556,2006,Hydropower,China
75,237138,Greater New Bedford LFG Utilization Project,-70.983378,41.724153,,,
77,237848,Jilin Changling Wind Farm Phase II Project,123.5456,44.0924,2009,Wind,China
79,237193,Yunnan Ajiutian 115.5 MW Hydropower Project,98.966667,24.3,,Hydropower,China
80,237591,"10MW Biomass Power Generation Project - Tokyo Cement, Trincomalee",81.2,8.566665,2009,Biomass,Sri Lanka
83,237195,"8.3 MW Wind Electricity Generation Project by Parakh Agro Industries Limited in Dhule, Maharashtra",74.2,21.166667,2009,Wind,India
86,237633,"Bundled wind power project in Tamil Nadu, India",77.151386,10.803943,2006,Wind,India
89,237859,Bataan 2020 12.5 MW Power Rice Hull Cogeneration Project,120.5105,14.7775,2009,Biomass,Philippines
90,237541,Chile: Quilleco Hydroelectric Project,-71.949722,-37.336111,2007,Hydropower,Chile
94,237199,Santorini Ceramic Fuel Switching Project,-49.490722,-18.962575,2008,Biomass,Brazil
95,237950,Liaoning Linghai Nanxiaoliu Wind Farm Project,121.448889,40.942778,,Wind,China
96,237653,65MW Dagushan hydropower Project in China,100.02472,38.6225,2009,Hydropower,China
99,237200,Velotex Ceramic Switching Fuel Project,-37.381944,-10.763056,2006,Biomass,Brazil
101,2371028,San Clemente Hydroelectric Power Plant,-71.33769,-35.59669,2011,Hydropower,Chile
106,2371438,"Germiyan Wind Power Project, Turkey",26.429,38.316,2016,Wind,Turkey
112,2372495,Upstream Emission Reductions Through Beneficial Use of Waste Flare Gas Energy at Garnes & Gliko Project,-102.66178,48.58882,,,
121,237655,"24.8 MW Wind power project by Belgaum Wind Farms Private Ltd. in Gadag, Karnataka",75.558593,15.342325,2008,Wind,India
124,237901,Los Caracoles Hydroelectric Project,-68.98426,-31.51987,2009,Hydropower,Argentina
133,2371127,Bucakkisla HPP Run-Off-River Hydro Project,33.128055,37.581388,,Hydropower,Turkey
136,2371484,"Grouped Hydro Power Project near Shanag Village in District Kullu of Himachal Pradesh, India",77.182328,32.294373,,Hydropower,India
145,2371096,Renewable Energy Wind Power Project in Rajasthan,70.970277,26.423611,2010,Wind,India
151,2372470,"Development of Programmatic CDM Project for SWH installation under MNRE, UNDP/GEF Global Solar Water Heating Market Transformation and Strengthening Initiatives: India Country Programme â€“ CPA 0001",80.9,22.033331,,,
152,2371469,"Bhud Wind Power Project, Maharashtra",74.57,16.86,2013,Wind,India
154,237239,Guohua Inner Mongolia Huitengliang West Wind Farm Project,116.1,43.516667,2008,Wind,China
161,237659,Shenyang Faku Wanghaisi Wind Power Project,123.393332,42.475833,2007,Wind,China
172,237243,"55.5 MW Natural Gas Power Generation Project at Batu Aji Village, Riau Island, Indonesia, by PT Dalle Energy Batam.",104.067008,1.028611,,,
181,237997,Xinjiang Kaiduhe River Chahan Wusu Hydropower Project,85.516667,42.316667,,Hydropower,China
186,237246,Fujian Jiangle Dayan 32MW Hydropower Project,117.2575,26.6543,,Hydropower,China
192,237252,"Installation of waste heat recovery boiler in DG sets, Tamil Nadu",80.277778,13.173611,,,
194,2372162,"2 x 3.5 MW Ullunkal Hydro Power Project in Kerala, India",76.933333,9.341666,,Hydropower,India
197,237908,Rice Husk Based Thermal Energy Generation Project at Thot Not,105.498889,10.311111,2014,Biomass,Vietnam
200,237254,Guangdong Nan Ao 26MW  Wind Power Project,117.091036,23.420175,2008,Wind,China
209,237235,LG Hausys Ulsan plant fuel switching project,129.291702,35.447691,,,
213,2371494,Tsiazompaniry Hydropower Project in Madagascar,47.833995,-19.248111,,Hydropower,Madagascar
222,237267,"5.0 MW small scale wind based power generation for captive use by Balkrishna Industries Limited (BIL) in Rajasthan, India",70.862555,26.665861,2009,Wind,India
231,2373220,Mbakaou Carriere Small Hydro Power Plant,12.758388,6.248109,,,
233,2372306,SÃ£o JoÃ£o Landfill Gas to Energy Project (SJ),-46.4141,-23.6362,,,
234,237645,KRC 3MW grouped small scale hydropower project,127.1488,36.1806,,Hydropower,South Korea
236,237912,"Gunder Hydro Power Project, Turkey",32.627778,36.564444,2012,Hydropower,Turkey
245,237271,1.25 MW Wind Power Generation project of Euro Vistaa (India) Limited,74.731333,17.164611,2009,Wind,India
247,2373163,Red Sea Power Wind Farm,42.5,11.529999,,,
248,2373161,Displacement of firewood by household biogas stoves in India,79.0193,18.1124,,,
249,237724,"53.75 MW Bundled wind Power project in Tamil Nadu  and Karnataka by KBD Group, India",77.432778,10.835278,2007,Wind,India
262,2373077,Huojia County Second MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,113.538358,35.163026,,,
264,237273,Diaobingshan New-built 49.5MW Wind Power Station Project,123.508889,42.422222,2009,Wind,China
265,2371030,"Fuel Switch to Renewable Biomass for Thermal Use at Metrolina Greenhouses, Inc. Commercial Greenhouse Facility",-80.773,35.418,2011,Biomass,United States
271,237261,Bundled Biomass Based Thermal Energy Projects in U.P. & Punjab of Sukhbir Agro Energy Limited,83.066667,25.316667,2007,Biomass,India
283,237265,"4.5 MW Grouped Small Hydropower Projects for Grid system by Bhoruka Power Corporation Limited in Karnataka State, India.",76.758333,16.691667,2006,Hydropower,India
286,2373060,Wushan County MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,109.5,31.5,,,
288,2371058,Clean Energy Project in the State of Tamil Nadu,77.583066,8.87546,2011,Wind,India
292,2373061,Hexian MSW Landfill Site LFG recovery to power project,118.12,31.46,,,
300,2371072,Cepco Wind Power Project in Rajasthan,70.957222,26.41711,2011,Wind,India
313,2371851,Renewable Solar Power Project by ReNew Solar Power Private Limited,79.0193,18.1124,2017,Solar - Centralized,India
315,2371074,Clean Energy generation from wind energy in the state of Andhra Pradesh.,78.021636,15.053611,2010,Wind,India
321,2371075,Kohinoor Wind Power Project in Rajasthan,71.013249,26.662022,2011,Wind,India
322,2373008,Grouped Captive Solar Power project by Enking International,75.8577,22.7196,,,
328,2371099,Qian'an Wangxin Caizi Town Windfarm Project Phase I,123.672222,44.873888,2012,Wind,China
333,2371114,SONAWADE SMALL HYDRO POWER PROJECT,73.866757,17.137636,2010,Hydropower,India
335,2372989,Solar Water Pump Project in Kenya,37.906193,-0.023559,,,
341,2372977,Biomass Cogeneration Plant By SCOUL,32.290295,1.373299,,,
344,2372966,"Installation Of Solar Milling Plants for Household In Zambia, Project- 1",31.9928,13.8056,,,
345,2372967,"Installation Of Solar Milling Plants for Household In Zambia, Project- 2",26.4194,16.9621,,,
346,2372383,Guizhou Wenjiaba CMM Power Generation Project,105.681646,26.656938,,,
347,2371128,Hangjin Yihewusu Phase I 49.5MW Wind Power Project,107.5411,40.0579,2011,Wind,China
353,2371146,The Hyundai Waste Energy Recovery CO-Generation Project Phase II,126.70322,36.982852,,,
367,2371174,"Akcay 28.78 MW, Hydroelectric Power Plant Project (HEPP), Turkey",28.309657,37.787205,2009,Hydropower,Turkey
375,2371184,Hebei Chengde Weichang Wuxiangliang Wind Power Project,117.768878,42.461105,2012,Wind,China
387,2371262,Wind power project in Tamil Nadu,77.521551,8.82572,,Wind,India
388,2371380,Akinci Hydroelectric Power Plant,37.1148,40.43996,2018,Hydropower,Turkey
392,2371025,"KVSSSKL Co-generation Power Plant at Satara District, Maharashtra",73.96978,17.87619,,Biomass,India
399,2371095,"Heishan LN1 Household Biogas Project in Jinzhou, Liaoning Province",122.0813,41.5988,,,
402,2371171,Biomass based steam generation project by Indapur Dairy and Milk Products Limited,74.954999,18.09055,,Biomass,India
410,2371245,Wudang and Huaxi Rural Biogas Methane Project in Guizhou Province,106.9333,26.5333,,,
415,2371844,80 MW SOLAR BY FERMI SOLAR FARMS PVT LTD - CHALISGAON.,74.9999,20.4634,2018,Solar - Centralized,India
422,237924,Tuppadahalli Wind Energy Project,76.083331,13.833332,2012,Wind,India
423,2372865,Henan Shunhe CMM Power Generation Project,116.351309,34.095371,,,
428,2371177,Jilin Da'an Dagangzi Wind Power Project Phase V,123.633322,45.366666,,Wind,China
429,2371307,Biomass Based Steam Generation Plant Farmgate Agro Milch,77.126285,28.87161,,Biomass,India
438,237277,Hebei Shirenshan Wind Power Project,114.3067,40.9772,2008,Wind,China
440,237278,Huanghe Tongli WHR Project,112.233333,34.525,,,
445,237286,UHE Mascarenhas Power Upgrading Project,-40.918333,-19.500556,2008,RE Bundled,Brazil
446,2372840,Nanzhao County MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,112.522644,33.464842,,,
450,237293,Rice husk fired boiler of 6 ton capacity for process steam generation at Sukhbir,74.416667,30.716667,2006,Biomass,India
459,237301,"Positive Climate Care 0.70 MW Wind Power Project Activity by Umedica Laboratories in the state of Gujarat, India.",72.1,21.6,2006,Wind,India
